back, m_in, n_in, o_in, m_out, n_out, o_out, comment (no use)
0, 0, 0, TL, 0, 2, TL, top square
0, 0, 0, DR, 0, 2, DR, top square
0, 0, 1, TL, 0, 3, TL, top square
0, 0, 1, DR, 0, 3, DR, top square
0, 1, 0, TL, 1, 2, TL, top square
0, 1, 0, DR, 1, 2, DR, top square
0, 1, 1, TL, 1, 3, TL, top square
0, 1, 1, DR, 1, 3, DR, top square
0, 0, 2, TL, 2, 6, TL, right square
0, 0, 2, DR, 2, 6, DR, right square
0, 0, 3, TL, 2, 7, TL, right square
0, 0, 3, DR, 2, 7, DR, right square
0, 1, 2, TL, 3, 6, TL, right square
0, 1, 2, DR, 3, 6, DR, right square
0, 1, 3, TL, 3, 7, TL, right square
0, 1, 3, DR, 3, 7, DR, right square
0, 2, 0, TL, 4, 0, TL, left square
0, 2, 0, DR, 4, 0, DR, left square
0, 2, 1, TL, 4, 1, TL, left square
0, 2, 1, DR, 4, 1, DR, left square
0, 3, 0, TL, 5, 0, TL, left square
0, 3, 0, DR, 5, 0, DR, left square
0, 3, 1, TL, 5, 1, TL, left square
0, 3, 1, DR, 5, 1, DR, left square
0, 2, 2, TL, 6, 4, TL, down square
0, 2, 2, DR, 6, 4, DR, down square
0, 2, 3, TL, 6, 5, TL, down square
0, 2, 3, DR, 6, 5, DR, down square
0, 3, 2, TL, 7, 4, TL, down square
0, 3, 2, DR, 7, 4, DR, down square
0, 3, 3, TL, 7, 5, DL, down square
0, 3, 3, DR, 7, 5, TR, down square
1, 3, 3, TL, 6, 0, TL, CVC
1, 0, 0, TL, 6, 0, DR, full CVC
1, 0, 0, TL, 6, 1, TL,
1, 0, 0, DR, 6, 1, DR,
1, 0, 0, TL, 7, 0, TL,
1, 0, 0, DR, 7, 0, DR,
1, 0, 0, TL, 7, 1, TL,
1, 0, 0, DR, 7, 1, DR,
1, 0, 0, TL, 0, 0, TL,
1, 0, 0, DR, 0, 0, DR,
1, 0, 0, TL, 0, 1, TL,
1, 0, 0, DR, 0, 1, DR,
1, 0, 0, TL, 1, 0, TL,
1, 0, 0, DR, 1, 0, DR,
1, 0, 0, TL, 1, 1, TL,
1, 0, 0, DR, 1, 1, DR,
1, 0, 0, TL, 0, 6, TL,
1, 0, 0, DR, 0, 6, DR,
1, 0, 0, TL, 0, 7, TL,
1, 0, 0, DR, 0, 7, DR,
1, 0, 0, TL, 1, 6, TL,
1, 0, 0, DR, 1, 6, DR,
1, 0, 0, TL, 1, 7, TL,
1, 0, 0, DR, 1, 7, DR,
1, 0, 0, TL, 6, 6, TL,
1, 0, 0, DR, 6, 6, DR,
1, 0, 0, TL, 6, 7, TL,
1, 0, 0, DR, 6, 7, DR,
1, 0, 0, TL, 7, 6, TL,
1, 0, 0, DR, 7, 6, DR,
1, 0, 0, TL, 7, 7, TL,
1, 0, 0, DR, 7, 7, DR,
